customer_id,length,recency,frequency,monetary,L_score,R_score,F_score,M_score,LRFM_score_combined,LRFM_segment_combined
1042,314,314,1,1057.51,3,1,1,1,3111,Inactive Customer
1043,244,131,5,5937.58,2,2,4,4,2244,New Customer High Value
1044,342,151,3,3468.1400000000003,4,2,2,3,4223,Reactivated Spender
1045,129,114,2,2922.3999999999996,1,2,1,2,1212,New Customer Low Value
1046,341,53,2,2410.15,4,3,1,2,4312,Occasional Spender
1047,261,58,2,629.9,2,3,1,1,2311,New Customer Low Value
1048,292,134,2,2205.24,3,2,1,2,3212,Inactive Customer
1049,360,175,5,6043.63,4,1,4,4,4144,At Risk Customer
105,278,153,2,2587.3,2,2,1,2,2212,New Customer Low Value
1050,81,27,2,2429.8,1,4,1,2,1412,New Customer Low Value
1051,284,272,2,2772.7,3,1,1,2,3112,Inactive Customer
1052,307,2,2,3612.66,3,4,1,3,3413,Occasional Spender
1053,274,140,3,3482.79,2,2,2,3,2223,New Customer High Potential
1054,350,95,6,4856.26,4,2,4,4,4244,At Risk Customer
1055,245,207,2,924.06,2,1,1,1,2111,New Customer Low Value
1056,362,113,4,4333.54,4,2,3,3,4233,At Risk Customer
1057,113,113,1,544.05,1,2,1,1,1211,New Customer Low Value
1058,352,117,2,1733.45,4,2,1,1,4211,Inactive Customer
1059,149,23,2,2449.81,1,4,1,2,1412,New Customer Low Value
106,113,2,2,1136.52,1,4,1,1,1411,New Customer Low Value
1060,319,188,3,4992.32,3,1,2,4,3124,Reactivated Spender
1061,187,25,5,2985.5299999999997,1,4,4,3,1443,New Customer High Value
1062,292,3,6,7619.47,3,4,4,4,3444,Top Tier Loyalist
1063,251,88,4,4282.22,2,2,3,3,2233,New Customer High Value
1064,223,208,2,3594.67,2,1,1,3,2113,New Customer High Potential
1065,225,80,4,3272.01,2,3,3,3,2333,New Customer High Value
1066,317,167,3,2637.5299999999997,3,1,2,2,3122,Inactive Customer
1067,343,233,2,1854.93,4,1,1,2,4112,Inactive Customer
1068,209,54,6,7077.78,2,3,4,4,2344,New Customer High Value
1069,338,309,2,3820.2799999999997,4,1,1,3,4113,Reactivated Spender
107,335,82,2,1650.54,4,2,1,1,4211,Inactive Customer
1070,60,60,1,543.39,1,3,1,1,1311,New Customer Low Value
1071,232,40,2,3546.44,2,3,1,3,2313,New Customer High Spender
1072,219,219,1,688.63,2,1,1,1,2111,New Customer Low Value
1073,222,222,1,1403.5,2,1,1,1,2111,New Customer Low Value
1074,357,157,3,5167.22,4,1,2,4,4124,Reactivated Spender
1075,220,68,4,4632.139999999999,2,3,3,4,2334,New Customer High Value
1076,352,18,7,7781.4,4,4,4,4,4444,Top Tier Loyalist
1077,131,6,3,4267.47,1,4,2,3,1423,New Customer High Spender
1078,350,55,4,4124.85,4,3,3,3,4333,Top Tier Loyalist
1079,286,66,3,2771.6,3,3,2,2,3322,Occasional Spender
108,17,11,2,2520.07,1,4,1,2,1412,New Customer Low Value
1080,48,48,1,1292.84,1,3,1,1,1311,New Customer Low Value
1081,278,12,4,5207.2,2,4,3,4,2434,New Customer High Value
1082,280,48,3,2136.11,2,3,2,2,2322,New Customer Low Value
1083,306,306,1,1842.92,3,1,1,2,3112,Inactive Customer
1084,291,5,5,6344.63,3,4,4,4,3444,Top Tier Loyalist
1086,337,52,5,4989.9,4,3,4,4,4344,Top Tier Loyalist
1087,15,15,1,1762.96,1,4,1,1,1411,New Customer Low Value
1088,272,30,3,4408.05,2,4,2,3,2423,New Customer High Spender
1089,265,152,6,5454.68,2,2,4,4,2244,New Customer High Value
109,346,9,6,5945.360000000001,4,4,4,4,4444,Top Tier Loyalist
1090,358,72,5,5475.63,4,3,4,4,4344,Top Tier Loyalist
1091,361,204,3,1790.97,4,1,2,1,4121,Inactive Customer
1092,349,272,2,2055.1099999999997,4,1,1,2,4112,Inactive Customer
1093,319,100,5,6000.6,3,2,4,4,3244,At Risk Customer
1094,350,250,3,3417.98,4,1,2,3,4123,Reactivated Spender
1096,344,56,3,2225.42,4,3,2,2,4322,Occasional Spender
1097,300,189,2,1433.4699999999998,3,1,1,1,3111,Inactive Customer
1098,350,93,4,2841.9,4,2,3,2,4232,At Risk Customer
1099,364,111,2,1248.96,4,2,1,1,4211,Inactive Customer
11,62,47,2,2595.8100000000004,1,3,1,2,1312,New Customer Low Value
110,346,173,4,3953.21,4,1,3,3,4133,At Risk Customer
1100,333,61,2,1455.9099999999999,4,3,1,1,4311,Occasional Spender
1101,194,180,2,2533.09,1,1,1,2,1112,New Customer Low Value
1102,306,62,3,2290.2200000000003,3,3,2,2,3322,Occasional Spender
1103,356,33,6,7782.55,4,4,4,4,4444,Top Tier Loyalist
1104,196,97,3,2688.8599999999997,1,2,2,2,1222,New Customer Low Value
1106,308,25,5,5586.24,3,4,4,4,3444,Top Tier Loyalist
1107,268,245,2,2826.48,2,1,1,2,2112,New Customer Low Value
1108,251,251,1,416.98,2,1,1,1,2111,New Customer Low Value
1109,274,256,2,1232.02,2,1,1,1,2111,New Customer Low Value
111,251,158,2,2867.38,2,1,1,2,2112,New Customer Low Value
1110,348,18,4,4777.4,4,4,3,4,4434,Top Tier Loyalist
1111,206,158,4,4672.9,1,1,3,4,1134,New Customer High Value
1113,294,30,5,6839.43,3,4,4,4,3444,Top Tier Loyalist
1114,65,65,1,1065.03,1,3,1,1,1311,New Customer Low Value
1115,145,101,3,2591.34,1,2,2,2,1222,New Customer Low Value
1116,346,346,1,2091.47,4,1,1,2,4112,Inactive Customer
1117,304,210,6,5161.18,3,1,4,4,3144,At Risk Customer
1118,275,39,3,2166.73,2,3,2,2,2322,New Customer Low Value
1119,280,108,4,7395.13,2,2,3,4,2234,New Customer High Value
112,341,48,4,6527.26,4,3,3,4,4334,Top Tier Loyalist
1120,291,2,3,1548.7199999999998,3,4,2,1,3421,Occasional Spender
1121,8,8,1,1311.44,1,4,1,1,1411,New Customer Low Value
1122,282,136,2,477.32000000000005,3,2,1,1,3211,Inactive Customer
1123,284,284,1,1179.0,3,1,1,1,3111,Inactive Customer
1124,341,341,1,1292.84,4,1,1,1,4111,Inactive Customer
1125,263,30,4,3352.08,2,4,3,3,2433,New Customer High Value
1126,360,302,2,2122.54,4,1,1,2,4112,Inactive Customer
1127,290,290,1,1362.99,3,1,1,1,3111,Inactive Customer
1128,65,55,2,2890.4700000000003,1,3,1,2,1312,New Customer Low Value
1129,276,27,8,11124.6,2,4,4,4,2444,New Customer High Value
113,361,176,3,3301.91,4,1,2,3,4123,Reactivated Spender
1130,137,137,1,1386.84,1,2,1,1,1211,New Customer Low Value
1131,277,277,1,642.31,2,1,1,1,2111,New Customer Low Value
1132,330,74,2,1982.73,3,3,1,2,3312,Occasional Spender
1133,310,123,3,4710.11,3,2,2,4,3224,Reactivated Spender
1134,308,4,4,3677.2,3,4,3,3,3433,Top Tier Loyalist
1135,165,165,1,1216.14,1,1,1,1,1111,New Customer Low Value
1136,352,168,2,1212.48,4,1,1,1,4111,Inactive Customer
1137,295,145,5,5488.35,3,2,4,4,3244,At Risk Customer
1138,270,125,2,2819.01,2,2,1,2,2212,New Customer Low Value
1139,70,70,1,183.86,1,3,1,1,1311,New Customer Low Value
114,193,193,1,1065.03,1,1,1,1,1111,New Customer Low Value
1140,317,7,7,7492.96,3,4,4,4,3444,Top Tier Loyalist
1141,318,134,4,2787.09,3,2,3,2,3232,At Risk Customer
1142,73,73,1,1577.53,1,3,1,1,1311,New Customer Low Value
1144,108,18,5,6013.54,1,4,4,4,1444,New Customer High Value
1145,66,66,1,1807.45,1,3,1,2,1312,New Customer Low Value
1146,313,313,1,1148.64,3,1,1,1,3111,Inactive Customer
1147,353,353,1,1807.45,4,1,1,2,4112,Inactive Customer
1148,351,351,1,1765.3,4,1,1,1,4111,Inactive Customer
1149,344,189,2,2123.36,4,1,1,2,4112,Inactive Customer
115,319,15,5,4294.81,3,4,4,3,3443,Top Tier Loyalist
1150,331,104,4,7865.18,3,2,3,4,3234,At Risk Customer
1151,177,99,2,3070.69,1,2,1,3,1213,New Customer High Potential
1152,311,139,5,6638.85,3,2,4,4,3244,At Risk Customer
1153,181,18,2,239.89,1,4,1,1,1411,New Customer Low Value
1154,320,132,4,2339.71,3,2,3,2,3232,At Risk Customer
1155,242,30,2,1382.8700000000001,2,4,1,1,2411,New Customer Low Value
1156,67,41,2,3169.55,1,3,1,3,1313,New Customer High Spender
1157,239,149,3,3884.04,2,2,2,3,2223,New Customer High Potential
1158,204,101,3,4215.79,1,2,2,3,1223,New Customer High Potential
1159,173,7,2,2661.77,1,4,1,2,1412,New Customer Low Value
116,230,13,4,2230.57,2,4,3,2,2432,2432
1161,198,13,3,3976.09,1,4,2,3,1423,New Customer High Spender
1162,286,286,1,1810.0,3,1,1,2,3112,Inactive Customer
1163,65,65,1,478.16,1,3,1,1,1311,New Customer Low Value
1165,342,11,5,3469.47,4,4,4,3,4443,Top Tier Loyalist
1166,168,164,2,1672.52,1,1,1,1,1111,New Customer Low Value
1167,39,39,1,60.34,1,3,1,1,1311,New Customer Low Value
1168,347,114,3,4721.29,4,2,2,4,4224,Reactivated Spender
1169,286,63,3,3163.8100000000004,3,3,2,3,3323,Occasional Spender
117,352,12,7,10063.56,4,4,4,4,4444,Top Tier Loyalist
1170,284,147,3,5009.280000000001,3,2,2,4,3224,Reactivated Spender
1171,324,129,4,4074.22,3,2,3,3,3233,At Risk Customer
1172,108,45,2,2524.19,1,3,1,2,1312,New Customer Low Value
1173,121,121,1,227.88,1,2,1,1,1211,New Customer Low Value
1174,27,9,2,3106.53,1,4,1,3,1413,New Customer High Spender
1175,363,363,1,575.27,4,1,1,1,4111,Inactive Customer
1176,212,212,1,1403.5,2,1,1,1,2111,New Customer Low Value
1177,315,103,5,4628.53,3,2,4,4,3244,At Risk Customer
1178,340,80,4,6564.4,4,3,3,4,4334,Top Tier Loyalist
1179,310,158,2,3165.32,3,1,1,3,3113,Reactivated Spender
118,278,70,3,3611.7799999999997,2,3,2,3,2323,New Customer High Spender
1181,301,48,4,2053.66,3,3,3,2,3332,Price Conscious Buyers
1182,162,25,4,5465.91,1,4,3,4,1434,New Customer High Value
1183,350,194,2,1570.1,4,1,1,1,4111,Inactive Customer
1184,312,6,4,4819.35,3,4,3,4,3434,Top Tier Loyalist
1185,352,10,2,808.51,4,4,1,1,4411,Occasional Spender
1186,58,58,1,1129.13,1,3,1,1,1311,New Customer Low Value
1187,344,59,2,1273.85,4,3,1,1,4311,Occasional Spender
1188,232,19,2,3043.9,2,4,1,3,2413,New Customer High Spender
1189,206,92,2,1339.0900000000001,1,2,1,1,1211,New Customer Low Value
119,64,31,2,2926.75,1,4,1,2,1412,New Customer Low Value
1190,359,245,3,1730.01,4,1,2,1,4121,Inactive Customer
1191,219,45,4,3643.21,2,3,3,3,2333,New Customer High Value
1192,362,224,2,2011.44,4,1,1,2,4112,Inactive Customer
1193,331,37,3,3419.69,3,4,2,3,3423,Occasional Spender
1194,233,29,2,1614.62,2,4,1,1,2411,New Customer Low Value
1195,191,60,2,2024.0500000000002,1,3,1,2,1312,New Customer Low Value
1196,272,19,4,4461.8,2,4,3,4,2434,New Customer High Value
1197,79,79,1,175.89,1,3,1,1,1311,New Customer Low Value
1198,237,69,3,2737.23,2,3,2,2,2322,New Customer Low Value
1199,355,134,3,2248.46,4,2,2,2,4222,Inactive Customer
12,322,68,3,1495.33,3,3,2,1,3321,Occasional Spender
120,194,130,2,2173.3,1,2,1,2,1212,New Customer Low Value
1200,126,80,2,1617.63,1,3,1,1,1311,New Customer Low Value
1201,83,83,1,688.63,1,2,1,1,1211,New Customer Low Value
1202,129,129,1,1977.36,1,2,1,2,1212,New Customer Low Value
1203,8,8,1,1036.59,1,4,1,1,1411,New Customer Low Value
1204,201,201,1,235.63,1,1,1,1,1111,New Customer Low Value
1205,349,301,2,1416.84,4,1,1,1,4111,Inactive Customer
1206,161,161,1,1842.92,1,1,1,2,1112,New Customer Low Value
1207,295,17,2,1300.6499999999999,3,4,1,1,3411,Occasional Spender
1208,188,78,3,4171.62,1,3,2,3,1323,New Customer High Spender
1209,133,133,1,1890.39,1,2,1,2,1212,New Customer Low Value
121,132,132,1,1065.03,1,2,1,1,1211,New Customer Low Value
1210,321,18,7,7111.5,3,4,4,4,3444,Top Tier Loyalist
1211,289,258,2,1580.8700000000001,3,1,1,1,3111,Inactive Customer
1212,123,123,1,1057.51,1,2,1,1,1211,New Customer Low Value
1213,341,329,2,3819.4,4,1,1,3,4113,Reactivated Spender
1215,363,78,4,2618.29,4,3,3,2,4332,Price Conscious Buyers
1217,139,54,3,2713.78,1,3,2,2,1322,New Customer Low Value
1218,248,144,2,3758.23,2,2,1,3,2213,New Customer High Potential
1219,281,5,2,1906.38,2,4,1,2,2412,New Customer Low Value
122,211,9,3,3540.85,2,4,2,3,2423,New Customer High Spender
1220,311,184,2,2783.94,3,1,1,2,3112,Inactive Customer
1221,147,45,3,1958.1399999999999,1,3,2,2,1322,New Customer Low Value
1222,155,52,2,2198.86,1,3,1,2,1312,New Customer Low Value
1223,267,63,2,1296.69,2,3,1,1,2311,New Customer Low Value
1224,225,48,3,2421.0699999999997,2,3,2,2,2322,New Customer Low Value
1225,317,59,3,4073.14,3,3,2,3,3323,Occasional Spender
1226,189,25,5,5188.65,1,4,4,4,1444,New Customer High Value
1227,318,81,6,4352.18,3,3,4,3,3343,Top Tier Loyalist
1228,133,133,1,1810.0,1,2,1,2,1212,New Customer Low Value
1229,322,86,3,1192.65,3,2,2,1,3221,Inactive Customer
123,318,192,2,2123.36,3,1,1,2,3112,Inactive Customer
1230,236,77,2,1824.33,2,3,1,2,2312,New Customer Low Value
1231,350,350,1,1769.64,4,1,1,1,4111,Inactive Customer
1232,259,61,5,6201.05,2,3,4,4,2344,New Customer High Value
1233,258,169,4,7054.58,2,1,3,4,2134,New Customer High Value
1234,346,86,6,4809.98,4,2,4,4,4244,At Risk Customer
1236,255,106,2,1220.7,2,2,1,1,2211,New Customer Low Value
1237,284,29,5,6284.599999999999,3,4,4,4,3444,Top Tier Loyalist
1238,319,180,3,1185.4299999999998,3,1,2,1,3121,Inactive Customer
1239,363,79,3,1031.03,4,3,2,1,4321,Occasional Spender
124,288,3,3,4086.24,3,4,2,3,3423,Occasional Spender
1240,74,20,2,1518.69,1,4,1,1,1411,New Customer Low Value
1241,320,76,3,2865.39,3,3,2,2,3322,Occasional Spender
1242,51,18,2,2610.13,1,4,1,2,1412,New Customer Low Value
1243,347,254,5,4837.97,4,1,4,4,4144,At Risk Customer
1244,259,20,2,2636.73,2,4,1,2,2412,New Customer Low Value
1245,332,72,4,3580.2700000000004,4,3,3,3,4333,Top Tier Loyalist
1246,116,116,1,1890.39,1,2,1,2,1212,New Customer Low Value
1247,262,262,1,1636.9,2,1,1,1,2111,New Customer Low Value
125,352,84,6,4276.08,4,2,4,3,4243,At Risk Customer
1250,276,36,4,2569.49,2,4,3,2,2432,2432
1252,233,10,2,2251.07,2,4,1,2,2412,New Customer Low Value
1253,219,5,3,2524.9,2,4,2,2,2422,New Customer Low Value
1254,250,38,5,5261.84,2,3,4,4,2344,New Customer High Value
1255,254,254,1,290.62,2,1,1,1,2111,New Customer Low Value
1256,278,82,6,6083.15,2,2,4,4,2244,New Customer High Value
1257,328,257,2,1728.54,3,1,1,1,3111,Inactive Customer
1258,345,53,4,5181.74,4,3,3,4,4334,Top Tier Loyalist
1259,174,42,4,3812.8599999999997,1,3,3,3,1333,New Customer High Value
1260,307,67,3,1975.2000000000003,3,3,2,2,3322,Occasional Spender
1261,350,120,4,4328.97,4,2,3,3,4233,At Risk Customer
1262,164,44,3,4584.04,1,3,2,4,1324,New Customer High Spender
1263,310,43,3,2542.02,3,3,2,2,3322,Occasional Spender
1264,180,180,1,363.01,1,1,1,1,1111,New Customer Low Value
1265,321,8,3,2639.86,3,4,2,2,3422,Occasional Spender
1266,363,258,2,4182.94,4,1,1,3,4113,Reactivated Spender
1267,284,167,3,5188.52,3,1,2,4,3124,Reactivated Spender
1268,322,322,1,574.64,3,1,1,1,3111,Inactive Customer
1269,212,212,1,1842.92,2,1,1,2,2112,New Customer Low Value
127,362,24,8,7478.53,4,4,4,4,4444,Top Tier Loyalist
1270,315,206,2,2314.85,3,1,1,2,3112,Inactive Customer
1272,308,25,2,2602.9,3,4,1,2,3412,Occasional Spender
1273,268,268,1,416.98,2,1,1,1,2111,New Customer Low Value
1274,350,16,4,1555.06,4,4,3,1,4431,Price Conscious Buyers
1275,359,150,4,4050.43,4,2,3,3,4233,At Risk Customer
1277,80,56,2,2259.9,1,3,1,2,1312,New Customer Low Value
1278,153,65,2,3121.44,1,3,1,3,1313,New Customer High Spender
1279,291,53,4,2907.04,3,3,3,2,3332,Price Conscious Buyers
128,270,138,3,3110.19,2,2,2,3,2223,New Customer High Potential
1280,309,198,2,3669.0,3,1,1,3,3113,Reactivated Spender
1281,246,88,2,2628.6499999999996,2,2,1,2,2212,New Customer Low Value
1282,241,101,3,3132.3999999999996,2,2,2,3,2223,New Customer High Potential
1285,363,119,3,4775.25,4,2,2,4,4224,Reactivated Spender
1286,331,52,2,1340.6599999999999,3,3,1,1,3311,Occasional Spender
1287,315,68,3,3815.76,3,3,2,3,3323,Occasional Spender
1288,246,101,2,2515.9700000000003,2,2,1,2,2212,New Customer Low Value
1289,302,83,2,3121.54,3,2,1,3,3213,Reactivated Spender
129,353,179,3,2283.03,4,1,2,2,4122,Inactive Customer
1290,96,45,3,3851.75,1,3,2,3,1323,New Customer High Spender
1291,348,53,6,7074.389999999999,4,3,4,4,4344,Top Tier Loyalist
1292,203,131,2,2683.7799999999997,1,2,1,2,1212,New Customer Low Value
1293,360,240,2,1514.75,4,1,1,1,4111,Inactive Customer
1295,329,30,4,5886.63,3,4,3,4,3434,Top Tier Loyalist
1296,356,131,3,5235.3,4,2,2,4,4224,Reactivated Spender
1297,355,3,2,1815.58,4,4,1,2,4412,Occasional Spender
1298,354,142,3,4777.23,4,2,2,4,4224,Reactivated Spender
1299,232,7,6,9202.609999999999,2,4,4,4,2444,New Customer High Value
13,305,28,4,3317.4700000000003,3,4,3,3,3433,Top Tier Loyalist
130,332,332,1,1636.9,4,1,1,1,4111,Inactive Customer
1300,237,36,4,6464.86,2,4,3,4,2434,New Customer High Value
1301,318,13,3,1927.98,3,4,2,2,3422,Occasional Spender
1302,355,77,7,7710.25,4,3,4,4,4344,Top Tier Loyalist
1303,359,71,5,6783.0,4,3,4,4,4344,Top Tier Loyalist
1304,347,4,4,1792.25,4,4,3,2,4432,Price Conscious Buyers
1305,268,204,2,2097.0,2,1,1,2,2112,New Customer Low Value
1306,302,184,3,3053.5099999999998,3,1,2,3,3123,Reactivated Spender
1307,286,134,5,4700.27,3,2,4,4,3244,At Risk Customer
1308,303,94,3,3527.39,3,2,2,3,3223,Reactivated Spender
1309,338,83,4,3547.44,4,2,3,3,4233,At Risk Customer
131,349,206,4,7610.35,4,1,3,4,4134,At Risk Customer
1310,355,355,1,533.51,4,1,1,1,4111,Inactive Customer
1311,318,48,3,4724.29,3,3,2,4,3324,Occasional Spender
1312,118,27,2,2706.66,1,4,1,2,1412,New Customer Low Value
1313,88,8,2,3424.37,1,4,1,3,1413,New Customer High Spender
1314,257,257,1,1762.96,2,1,1,1,2111,New Customer Low Value
1315,320,10,3,2746.59,3,4,2,2,3422,Occasional Spender
1316,179,179,1,569.56,1,1,1,1,1111,New Customer Low Value
1317,255,36,4,7605.66,2,4,3,4,2434,New Customer High Value
1318,269,27,2,2720.85,2,4,1,2,2412,New Customer Low Value
1319,345,312,2,3139.0699999999997,4,1,1,3,4113,Reactivated Spender
132,324,8,4,5499.72,3,4,3,4,3434,Top Tier Loyalist
1320,321,282,2,1411.79,3,1,1,1,3111,Inactive Customer
1321,327,216,2,709.07,3,1,1,1,3111,Inactive Customer
1322,90,64,2,3058.14,1,3,1,3,1313,New Customer High Spender
1323,148,54,3,1846.69,1,3,2,2,1322,New Customer Low Value
1324,310,75,4,3626.93,3,3,3,3,3333,Top Tier Loyalist
1325,83,83,1,416.98,1,2,1,1,1211,New Customer Low Value
1326,341,11,6,6384.110000000001,4,4,4,4,4444,Top Tier Loyalist
1327,331,216,2,1847.6,3,1,1,2,3112,Inactive Customer
1328,187,17,3,3971.6400000000003,1,4,2,3,1423,New Customer High Spender
1329,360,5,6,7358.5599999999995,4,4,4,4,4444,Top Tier Loyalist
133,361,27,4,2578.1,4,4,3,2,4432,Price Conscious Buyers
1330,357,76,3,3941.27,4,3,2,3,4323,Occasional Spender
1331,131,6,3,4253.46,1,4,2,3,1423,New Customer High Spender
1332,289,89,3,2935.17,3,2,2,2,3222,Inactive Customer
1333,202,202,1,1636.9,1,1,1,1,1111,New Customer Low Value
1335,291,175,4,4791.16,3,1,3,4,3134,At Risk Customer
1336,228,86,3,4380.62,2,2,2,3,2223,New Customer High Potential
1337,278,84,6,6160.39,2,2,4,4,2244,New Customer High Value
1339,329,103,4,5652.139999999999,3,2,3,4,3234,At Risk Customer
134,327,327,1,1661.92,3,1,1,1,3111,Inactive Customer
1340,250,29,5,6724.43,2,4,4,4,2444,New Customer High Value
1341,313,76,2,1753.6599999999999,3,3,1,1,3311,Occasional Spender
1342,324,4,2,2261.02,3,4,1,2,3412,Occasional Spender
1343,358,29,2,2277.12,4,4,1,2,4412,Occasional Spender
1344,55,55,1,945.04,1,3,1,1,1311,New Customer Low Value
1345,93,51,2,2837.41,1,3,1,2,1312,New Customer Low Value
1346,352,16,6,6877.41,4,4,4,4,4444,Top Tier Loyalist
1347,327,92,3,3042.12,3,2,2,3,3223,Reactivated Spender
1348,329,158,4,5798.7300000000005,3,1,3,4,3134,At Risk Customer
1349,364,44,4,3929.2,4,3,3,3,4333,Top Tier Loyalist
135,116,116,1,1483.2,1,2,1,1,1211,New Customer Low Value
1350,346,117,2,2243.46,4,2,1,2,4212,Inactive Customer
1351,361,18,4,4847.3099999999995,4,4,3,4,4434,Top Tier Loyalist
1352,211,89,2,1551.0,2,2,1,1,2211,New Customer Low Value
1353,338,256,2,2123.36,4,1,1,2,4112,Inactive Customer
1354,141,141,1,912.52,1,2,1,1,1211,New Customer Low Value
1355,230,93,2,2964.71,2,2,1,3,2213,New Customer High Potential
1356,223,23,2,1468.19,2,4,1,1,2411,New Customer Low Value
1357,303,54,6,9189.68,3,3,4,4,3344,Top Tier Loyalist
1358,259,259,1,642.31,2,1,1,1,2111,New Customer Low Value
1359,13,13,1,544.05,1,4,1,1,1411,New Customer Low Value
136,352,21,6,6533.91,4,4,4,4,4444,Top Tier Loyalist
1360,287,182,3,3476.3199999999997,3,1,2,3,3123,Reactivated Spender
1361,264,29,3,3444.6,2,4,2,3,2423,New Customer High Spender
1362,257,257,1,1311.44,2,1,1,1,2111,New Customer Low Value
1363,272,25,5,4961.66,2,4,4,4,2444,New Customer High Value
1364,210,65,2,2871.56,2,3,1,2,2312,New Customer Low Value
1365,221,218,2,1692.0300000000002,2,1,1,1,2111,New Customer Low Value
1366,357,55,3,1977.28,4,3,2,2,4322,Occasional Spender
1367,334,80,3,2659.25,4,3,2,2,4322,Occasional Spender
1368,360,60,3,2861.63,4,3,2,2,4322,Occasional Spender
1369,193,193,1,1386.84,1,1,1,1,1111,New Customer Low Value
137,339,281,3,2410.12,4,1,2,2,4122,Inactive Customer
1370,298,34,3,1956.8700000000001,3,4,2,2,3422,Occasional Spender
1371,316,27,2,2643.81,3,4,1,2,3412,Occasional Spender
1372,341,70,3,3543.58,4,3,2,3,4323,Occasional Spender
1374,281,40,2,3957.91,2,3,1,3,2313,New Customer High Spender
1375,326,83,4,4951.4400000000005,3,2,3,4,3234,At Risk Customer
1376,139,124,3,4212.02,1,2,2,3,1223,New Customer High Potential
1377,304,177,2,1426.3400000000001,3,1,1,1,3111,Inactive Customer
1378,249,13,6,8072.719999999999,2,4,4,4,2444,New Customer High Value
1379,232,232,1,1198.46,2,1,1,1,2111,New Customer Low Value
138,237,65,4,2816.27,2,3,3,2,2332,2332
1381,162,136,2,3687.62,1,2,1,3,1213,New Customer High Potential
1382,123,123,1,1635.3,1,2,1,1,1211,New Customer Low Value
1383,347,228,2,2191.8199999999997,4,1,1,2,4112,Inactive Customer
1384,245,245,1,1458.17,2,1,1,1,2111,New Customer Low Value
1385,196,143,2,2580.3,1,2,1,2,1212,New Customer Low Value
1386,329,306,2,1466.7800000000002,3,1,1,1,3111,Inactive Customer
1388,170,124,2,2248.78,1,2,1,2,1212,New Customer Low Value
